"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2018",2008.975,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2019",2115.452,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2020",2125.666,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2018",3427.341,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2019",3522.767,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2020",3718.054,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2018",5419.273,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2019",5387.733,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2020",5757.291,"P"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2021",6262.31,"P"
"CHE","HEALTHEXP","TOT","USD_CAP","A","2018",6930.7,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2019",6942.41,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2020",7178.56,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2018",1205.305,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2019",1231.634,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2020",1304.709,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2018",4189.708,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2019",4385.463,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2020",5018.7,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2021",5387.23,"P"
"USA","HEALTHEXP","TOT","USD_CAP","A","2018",10451.386,
"USA","HEALTHEXP","TOT","USD_CAP","A","2019",10855.517,
"USA","HEALTHEXP","TOT","USD_CAP","A","2020",11859.179,
"USA","HEALTHEXP","TOT","USD_CAP","A","2021",12318.099,"E"
"CHL","HEALTHEXP","TOT","USD_CAP","A","2018",2281.148,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2019",2296.988,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2020",2412.752,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2021",2607.977,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2018",2364.073,
"EST","HEALTHEXP","TOT","USD_CAP","A","2019",2452.289,
"EST","HEALTHEXP","TOT","USD_CAP","A","2020",2729.229,
"EST","HEALTHEXP","TOT","USD_CAP","A","2021",2989.125,"P"
"ISR","HEALTHEXP","TOT","USD_CAP","A","2018",2748.975,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2019",2790.798,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2020",3057.408,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2018",3045.106,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2019",3221.895,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2020",3474.147,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2021",3737.422,"P"
"BRA","HEALTHEXP","TOT","USD_CAP","A","2018",1437.449,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2019",1497.734,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2018",810.568,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2019",894.357,
"COL","HEALTHEXP","TOT","USD_CAP","A","2018",1191.885,
"COL","HEALTHEXP","TOT","USD_CAP","A","2019",1293.363,
"COL","HEALTHEXP","TOT","USD_CAP","A","2020",1335.877,
"IND","HEALTHEXP","TOT","USD_CAP","A","2018",214.59,
"IND","HEALTHEXP","TOT","USD_CAP","A","2019",230.721,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2018",1860.969,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2019",2025.57,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2020",2227.896,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2018",2396.809,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2019",2682.067,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2020",2881.844,"P"
"LTU","HEALTHEXP","TOT","USD_CAP","A","2021",3309.029,"P"
"CRI","HEALTHEXP","TOT","USD_CAP","A","2018",1529.721,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2019",1556.168,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2020",1617.823,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2018",1766.905,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2019",1795.621,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2020",2122.982,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2018",1882.165,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2019",1957.096,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2020",2079.502,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2018",2615.209,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2019",2717.585,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2020",2966.243,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2018",3771.991,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2019",4154.131,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2018",1659.316,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2019",1844.269,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2020",2051.588,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3613.627,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3691.518,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4023.597,"E"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1580.218,
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1438.715,
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1603.719,"E"
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4120.625,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4222.653,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4497.514,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5262.371,"P"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1397.913,
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1401.361,
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1385.232,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1430.935,"P"
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4107.636,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4069.576,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4282.348,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1207.558,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1283.296,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1124.631,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3708.432,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3621.392,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4369.393,"P"
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4401.522,"P"
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1599.924,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1568.329,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1458.931,"P"
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1503.417,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2655.45,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2780.961,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3336.273,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",473.074,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",491.263,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",468.87,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4444.355,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4486.639,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4831.487,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5453.023,"P"
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",862.35,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",873.137,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",862.165,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",931.147,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3332.537,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3413.665,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3640.102,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",997.906,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",969.969,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",964.519,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4250.006,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4317.845,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4632.095,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",849.3,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",849.994,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",836.323,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5284.599,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",5383.624,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5904.463,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",6350.865,"P"
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",997.225,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1024.304,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1034.52,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1031.785,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1370.67,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1445.289,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1537.205,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",940.941,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",901.188,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",945.123,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1464.19,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1437.689,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1715.623,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",641.52,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",656.39,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",686.376,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3489.393,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3575.387,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3848.709,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4255.629,"P"
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",746.268,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",742.882,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",771.449,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",840.81,"P"
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3610.45,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3692.023,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4235.179,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4575.532,"P"
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1260.239,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1255.199,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1137.635,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1260.81,"P"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2582.087,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2629.221,"B"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2850.732,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",3051.572,"P"
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",913.781,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",936.08,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",896.441,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",986.215,"P"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3815.16,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3871.405,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3888.809,"P"
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",739.116,
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",739.389,
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",776.833,"P"
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1849.266,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1998.479,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2241.526,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2534.707,"P"
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1229.565,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1278.745,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1340.788,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1379.032,"P"
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4449.363,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4570.573,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4865.002,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",767.952,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",737.466,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",693.499,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",556.918,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",549.314,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",648.91,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",565.26,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",567.921,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",577.826,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4501.226,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4665.013,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5247.37,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5752.462,"P"
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",981.045,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",978.577,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",932.641,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1000.276,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3100.079,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3384.117,"E"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3579.892,"E"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",812.999,"P"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",865.476,"E"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",889.49,"E"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5566.509,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",5551.351,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5641.604,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",6044.488,"P"
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",928.569,
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",925.027,
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",940.025,
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1020.273,"P"
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1506.142,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1602.31,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1652.078,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1863.608,"P"
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",600.519,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",630.037,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",634.033,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",704.116,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1918.957,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1961.577,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2160.339,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2441.07,"P"
"PRT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1215.172,
"PRT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1262.099,
"PRT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1187.865,
"PRT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1375.304,"P"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1609.868,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1687.991,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1706.301,
"SVK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",399.106,
"SVK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",427.461,
"SVK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",419.365,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2406.832,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2487.52,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2723.922,
"ESP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1020.509,
"ESP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1035.246,
"ESP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",994.133,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4594.71,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4586.261,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4946.044,"P"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5358.066,"P"
"SWE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",824.563,
"SWE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",801.471,
"SWE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",811.247,"P"
"SWE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",904.244,"P"
"CHE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4554.274,
"CHE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4635.044,
"CHE","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5003.09,
"CHE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",2376.426,
"CHE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",2307.366,
"CHE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",2175.469,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",932.692,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",956.799,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1028.703,
"TUR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",272.613,
"TUR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",274.835,
"TUR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",276.006,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3322.037,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3480.173,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4157.707,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4466.127,"P"
"GBR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",867.671,
"GBR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",905.29,
"GBR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",860.993,"P"
"GBR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",921.103,"P"
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",8664.451,
