"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2013","2013",74.9,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2014","2014",72.9,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2015","2015",81,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2016","2016",86.6,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2017","2017",87.7,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2018","2018",88.2,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2019","2019",90.3,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","EST","Estonia","2020","2020",87.7,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2010","2010",96,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2011","2011",91,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2012","2012",97,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2013","2013",102.1,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2014","2014",101.4,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2015","2015",94.9,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2016","2016",113.5,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2017","2017",116.9,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2018","2018",117.5,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2019","2019",117.3,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2020","2020",141.1,,
"WAITPROW","Prostatectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","ESP","Spain","2021","2021",151.2,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2013","2013",101,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2014","2014",74,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2015","2015",70,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2016","2016",60,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2017","2017",66,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2018","2018",59,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2019","2019",66,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2020","2020",128,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMDMB","Waiting times of patients on the list: Median (days)","ESP","Spain","2021","2021",68,,
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2014","2014",5.8,"D","Difference in methodology"
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2015","2015",5,"D","Difference in methodology"
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2016","2016",3.9,"D","Difference in methodology"
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2017","2017",7.8,"D","Difference in methodology"
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2018","2018",6.4,"D","Difference in methodology"
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2019","2019",6.2,"B; D","Break; Difference in methodology"
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2020","2020",7.4,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2010","2010",108,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2011","2011",101.2,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2012","2012",98.4,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2013","2013",93.5,,
